platform filter|title|age|releaseDate|BADLANGUAGE|DISCRIMINATION|DRUGS|FEAR|GAMBLING|SEX|VIOLENCE|INGAMEPURCHASES|content|publisher|platform list
Nintendo Switch|Octahedron|7|30/04/2020|N|N|N|N|N|N|Y|N|Ascend and escape the strange subterranean world of Veetragoul, and experience an otherworldly psychedelic adventure.|Super Rare Games|Nintendo Switch
Nintendo Switch|SHMUP Collection|7|30/04/2020|N|N|N|N|N|N|Y|N|Shmup Collection is a compilation of 3 great Shoot them up. Containing Armed 7, Satazius and Wolflame, you will get more action than you planned for.|Free Agent Games|Nintendo Switch
Nintendo Switch|GUNS OF MERCY - Rangers Edition|7|30/04/2020|N|N|N|N|N|N|Y|N|Guns of Mercy - Rangers Edition is a 16 bits Shoot Them Up inspired by the classic Shooter and arcade games of the 90âs. Up to 4 player co-op. 2032, the Earth is a vast and hostile wasteland infested...|Free Agent Games|Nintendo Switch
Nintendo Switch|SUPER TRENCH ATTACK|12|30/04/2020|Y|N|N|N|Y|N|Y|N|Super Trench Attack is here. Enroll in the World War. Start your training and win the fight. Super Trench Attack is a goofball comedy shooter based in a World War setting. Be the soldier that fight against...|Free Agent Games|Nintendo Switch
Nintendo Switch|The Forgotten Land|3|30/04/2020|N|N|N|N|N|N|N|N|The Forgotten Land is a dark puzzle adventure full of challenges and dangers. Only skill and strategy will lead you to victory - both in turn-based battles and in challenging fights against heinous creatures...|rokaplay GmbH|Nintendo Switch
Nintendo Switch|Cooking Mama: Cookstar|3|28/04/2020|N|N|N|N|N|N|N|N|Cooking Mama: Cookstar is a fun, family friendly cooking simulator game. In the game players prepare meals by playing mini games that represent the steps in cooking. Players use kitchen utencils (knives,...|Planet Entertainment|Nintendo Switch, PlayStation 4
Nintendo Switch|Moving Out|3|28/04/2020|N|N|N|N|N|N|N|N|Become a certified removals master in this action, puzzle, physics based moving simulator that brings new meaning to "couch co-op". In Moving Out players can train alone or with friends to learn the doâs...|Team17 Digital Limited|Nintendo Switch, Xbox One, PlayStation 4
Nintendo Switch|Firefighters - Airport Heroes|3|28/04/2020|N|N|N|N|N|N|N|N|âFirefighters - Airport Heroesâ is a simulation game of an airport fire department. As a team member of the airport fire department the playerâs character takes care of the vehicles, primarily fights...|United Independent Entertainment GmbH|PlayStation 4, Nintendo Switch
Nintendo Switch|Holy Potatoes! Compendium|7|24/04/2020|N|N|N|N|N|N|Y|N|A 3-pack of whacky time management games. What the hell?! We're in Space?! and A Weapon's Shop?!|Numskull Games|PlayStation 4, Nintendo Switch
Nintendo Switch|Naruto Shippuden Ultimate Ninja Storm 4: Road to Boruto|12|24/04/2020|Y|N|N|N|N|N|Y|N|Naruto Shippuden Ultimate Ninja Storm 4: Road to Boruto marks the conclusion of the long running series, containing the main game Naruto Shippuden Ultimate Ninja Storm 4, plus all five DLCâs, including...|BANDAI NAMCO ENTERTAINMENT EUROPE S.A.S.|Nintendo Switch
